カテゴリ,通し番号,質問文
オンライン・コラボレーション力,1,ビデオ会議や共有ホワイトボードなどによって，複数人でオンラインでのディスカッションをおこなえる．
オンライン・コラボレーション力,2,クラウドサービスなどによって，複数人でオンラインでの共同文書作成をおこなえる．
オンライン・コラボレーション力,3,クラウドサービスなどによって，複数人でオンラインでの共同表計算データ処理をおこなえる．
オンライン・コラボレーション力,4,クラウドサービスなどによって，複数人でオンラインでのプレゼンテーション資料（スライド）の作成をおこなえる．
オンライン・コラボレーション力,5,メタバースにおいて，複数人での共同作業をおこなえる．
オンライン・コラボレーション力,6,自身の作業工程や活動状況をクラウドサービスなどによって，電子的に管理できる．
オンライン・コラボレーション力,7,クラウドサービスなどによって，自身と他者の作業工程や活動状況を電子的に情報共有できる．
オンライン・コラボレーション力,8,クラウドサービスなどによって，チームリーダとして，チームメンバの作業工程と活動状況を電子的に管理できる．
オンライン・コラボレーション力,9,eポートフォリオを使って，自身の活動を電子的に記録し続けている．
オンライン・コラボレーション力,10,eポートフォリオを使って，自身の活動を評価したり振り返ったりしている．
オンライン・コラボレーション力,11,eポートフォリオを使って，自身の活動を整理して他者へ公開できる．
オンライン・コラボレーション力,12,スマートフォンでの送金やタッチ決済など，電子決済を日常的に使用している．
オンライン・コラボレーション力,13,チャットシステムを使って，テキストによる対話をおこなえる．
オンライン・コラボレーション力,14,電子メールを送受信できる．
オンライン・コラボレーション力,15,HTMLを使って簡易なWebページを作成できる．
データ利活用力,16,機械判読可能なデータの表記を意識して統計表を作成できる．
データ利活用力,17,グラフの特徴や統計データの種類や分析の目的を踏まえて，グラフを使い分けている．
データ利活用力,18,名義尺度，順序尺度，感覚尺度，比例尺度の違いを説明できる．
データ利活用力,19,ソフトウェアを使って，基本統計量を算出できる．
データ利活用力,20,ソフトウェアを使って，単回帰式を導出できる．
データ利活用力,21,ソフトウェアを使って，t検定を実施できる．
データ利活用力,22,ソフトウェアを使って，一元配置分散分析を実施できる．
データ利活用力,23,ソフトウェアを使って，ノンパラメトリック検定を実施できる．
データ利活用力,24,ソフトウェアを使って，因子分析を実施できる．
データ利活用力,25,ソフトウェアを使って，クラスター分析を実施できる．
データ利活用力,26,プログラミングによって，基本統計量を算出できる．
データ利活用力,27,プログラミングによって，散布図やヒストグラムや箱ひげ図などによるデータの視覚化をおこなえる．
データ利活用力,28,プログラミングによって，単回帰式を導出できる．
データ利活用力,29,プログラミングによって，t検定を実施できる．
データ利活用力,30,プログラミングによって，一元配置分散分析を実施できる．
情報システム開発力,31,情報システムの開発工程において，「要求定義→設計→実装→テスト」の一連のプロセスを実践または体験したことがある．
情報システム開発力,32,1種類以上のプログラミング言語で，簡易な順次構造・反復構造・分岐構造のコードを記述できる．
情報システム開発力,33,1種類以上のプログラミング言語で，線形探索または二分探索のコードを記述できる．
情報システム開発力,34,1種類以上のプログラミング言語で，単純交換ソート，単純挿入ソート，単純選択ソートのいずれかのコードを記述できる．
