id,user_id,date_added,grade,required_time_seconds,qualification_status,ease_of_question_understanding,ease_of_answer_providing,current_knowledge_and_skills,knowledge_and_skills_at_graduation,improvement_prediction,comment
9,69,2024.01.15,B2,297,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
12,95,2024.01.15,B2,455,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
13,38,2024.01.15,B2,580,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
14,105,2024.01.15,B4,241,はい,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
16,50,2024.01.15,B2,268,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,かなり妥当である,ややそう思う,特になし
17,106,2024.01.15,B4,391,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,4項目分の入力を終えた後、結果が反映されていない項目があったのでそこが気になりました。
19,97,2024.01.15,B2,250,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
20,69,2024.01.15,B2,871,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
21,73,2024.01.15,B2,171,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
22,57,2024.01.15,B2,141,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,とてもそう思う,特になし
23,26,2024.01.15,B2,774,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
24,84,2024.01.15,B2,1165,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
25,27,2024.01.15,B2,295,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,特になし
26,70,2024.01.15,B2,366,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,かなり妥当である,とてもそう思う,特になし
27,56,2024.01.15,B2,379,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば不当である,とてもそう思う,特になし
28,92,2024.01.15,B2,326,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
29,101,2024.01.15,B2,352,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,どちらかといえば妥当である,とてもそう思う,特になし
